Id,City,State,Country,Full Address,Latitude,Longitude
,StringFilter,StringFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
104,Tananarive,-,Madagascar,Tananarive - Madagascar ,-18.8791902,47.5079055
105,-,-,Ukraine,- - Ukraine ,48.379433,31.1655799
106,-,-,Lebanon,- - Lebanon ,33.854721,35.862285
107,-,-,France,- - France ,46.227638,2.213749
108,-,-,Italy,- - Italy ,41.87194,12.56738
109,-,-,Australia,- - Australia ,-25.274398,133.775136
110,-,-,French Algeria,- - French Algeria ,36.7648031,3.0388428
111,Kano,-,Nigeria,Kano - Nigeria ,12.0021794,8.5919561
112,Vrededorp,-,South Africa,Vrededorp - South Africa ,-26.1939215,28.0178768
113,Kumasi,-,Ghana,Kumasi - Ghana ,6.6666004,-1.6162709
114,Ogidi,-,Nigeria,Ogidi - Nigeria ,6.1452777,6.9048148
115,Enugu,-,Nigeria,Enugu - Nigeria ,6.4583661,7.5463885
116,Huambo,-,Angola,Huambo - Angola ,-12.7739761,15.7468535
117,Umuahia,-,Nigeria,Umuahia - Nigeria ,5.5249526,7.4922407
118,Saltpond,-,Ghana,Saltpond - Ghana ,5.2023106,-1.0514312
119,Lira,-,Uganda,Lira - Uganda ,2.2580829,32.8874067
120,Ogbomosho,-,Nigeria,Ogbomosho - Nigeria ,8.1227496,4.2435893
121,Cher,La Chapelle-d'Angillon,France,Cher La Chapelle-d'Angillon France ,47.363586,2.433502
122,Florence,-,Italy,Florence - Italy ,43.7695604,11.2558136
123,Ilesha,-,Nigeria,Ilesha - Nigeria ,7.6395498,4.7588042
124,Aluu,-,Nigeria,Aluu - Nigeria ,4.9339066,6.9437098
125,Koboko,-,Uganda,Koboko - Uganda ,3.4167992,30.9589496
126,Quito,-,Ecuador,Quito - Ecuador ,-0.1806532,-78.4678382
127,Poznan,-,Poland,Poznan - Poland ,52.406374,16.9251681
128,Owerri,-,Nigeria,Owerri - Nigeria ,5.489059,7.0175879
129,-,-,Kenya,- - Kenya ,-0.023559,37.906193
130,Basingstoke,-,England,Basingstoke - England ,51.26654,-1.0923964
131,Laleham,-,England,Laleham - England ,51.4096047,-0.4881633
132,Trinidad,-,Cuba,Trinidad - Cuba ,21.7960343,-79.9808143
133,Oak Park,Illinois,United States,Oak Park Illinois United States ,41.8850317,-87.7845025
134,York,-,England,York - England ,53.9599651,-1.0872979
135,Berlin,-,Germany,Berlin - Germany ,52.5200066,13.404954
136,Galt,-,Canada,Galt - Canada ,43.360053,-80.306239
137,Ikenne,-,Nigeria,Ikenne - Nigeria ,6.8717415,3.7105118
138,Wheta,-,Ghana,Wheta - Ghana ,6.0802847,0.9748978
139,Zungeru,-,Nigeria,Zungeru - Nigeria ,9.8097475,6.1553498
140,Minna,-,Nigeria,Minna - Nigeria ,9.5835546,6.5463156
141,-,-,Paraguay,- - Paraguay ,-23.442503,-58.443832
142,-,-,Tanzania,- - Tanzania ,-6.369028,34.888822
143,-,-,Cameroon,- - Cameroon ,7.369722,12.354722
144,Suffolk,-,England,Suffolk - England ,52.1872472,0.9707801
145,-,-,Ireland,- - Ireland ,53.1423672,-7.6920536
146,-,-,Germany,- - Germany ,51.165691,10.451526
147,-,-,Sweden,- - Sweden ,60.128161,18.643501
148,-,Oklahoma,United States,- Oklahoma United States ,35.4675602,-97.5164276
149,Tarkastad,Eastern Cape,South Africa,Tarkastad Eastern Cape South Africa ,-32.0078739,26.2718021
150,-,-,Canada,- - Canada ,56.130366,-106.346771
